28	201.5	58.67	9.85	5.07	8.55	0.63	1
29.3	218.33	59.86	9.58	5.94	8.27	0.86	0
29.4	212.74	59.56	9.81	7.56	5.36	0.67	0
20.5	190.59	56.48	9.11	4.88	8.42	0.48	1
29.5	216.3	59.09	9.08	6.57	6.33	0.71	0
25.8	192.92	59.94	9.66	8.76	8.16	0.72	1
29.9	225.37	56.14	9.69	5.01	8.91	0.59	0
25	214.34	57.99	9.31	8.22	8.5	0.5	1
25.5	205.23	55.72	9.75	8.92	6.95	0.76	1
29.7	221.47	56.45	9.58	4.89	4.6	0.47	1
24.1	207.77	50.42	9.45	5.96	8.62	0.78	0
26.9	227.7	56.19	9.81	6.33	7.06	0.87	1
25.2	215.17	51.11	9.25	5.07	4.51	0.46	1
20.2	226.93	51.16	9.56	7.52	6.97	0.8	1

